Step,ObjectName,Description,Action,Input,Condition,Reference
1,App,Compare 2 pdf documents and get a result pdf with difference highlighted,pdfCompare,@D:\\expected.pdf,D:\\actual.pdf,
2,App,Compare 2 pdf documents with exclusions and get a result pdf with difference highlighted,pdfCompareWithExclusions,@D:\\expected.pdf,D:\\actual.pdf,
3,App,Extract all/particualt text from given pdf in to the variable,pdfExtractText,@D:\\expected.pdf,Database:check;Pattern:\s\d\d\d\d,
4,Browser,print the data [<Data>],print,Database:check,,
5,App,Extract all/particualt text from given pdf in to the variable,pdfExtractText,@D:\\expected.pdf,%var%;Pattern:\s\d\d\d\d,
6,Browser,Extract all/particualt text from given pdf in to the variable,print,%var%,,
7,App,Extract all/particualt text from given pdf in to the variable,pdfExtractText,@D:\\expected.pdf,%var1%,
8,Browser,Extract all/particualt text from given pdf in to the variable,print,%var1%,,
9,App,Extract all/particualt text from given pdf in to the variable,pdfExtractText,@D:\\expected.pdf,Database:name,
10,Browser,Extract all/particualt text from given pdf in to the variable,print,Database:name,,
11,App,Extract all/particualt text from given pdf pages in to the variable,pdfExtractTextFromPage,"@D:\\expected.pdf;2,3",%TEXTFROMPDF%,
12,Browser,Extract all/particualt text from given pdf in to the variable,print,%TEXTFROMPDF%,,
13,App,Extract all/particualt text from given pdf pages in to the variable,pdfExtractTextFromPage,"@D:\\expected.pdf;2,3",Database:test,
14,Browser,Extract all/particualt text from given pdf in to the variable,print,Database:test,,
15,App,Extract all/particualt text from given pdf pages in to the variable,pdfExtractTextFromPage,"@D:\\expected.pdf;2,3",%var3%;Pattern:\s\d\d\d\d,
16,Browser,print the data [<Data>],print,%var3%,,
17,App,Extract all images from given pdf to the given location,pdfExtractImages,@D:\\expected.pdf,D:\\Images,
